window_start,symbol,open,high,low,close,avg_price,total_volume,window_end
2025-12-07 13:00:00,AAPL,278.78,278.78,278.78,278.78,278.78,141797535,2025-12-07 13:05:00
2025-12-07 13:00:00,AMZN,229.53,229.53,229.53,229.53,229.53,99352131,2025-12-07 13:05:00
2025-12-07 13:00:00,GOOGL,321.27,321.27,321.27,321.27,321.27,86555115,2025-12-07 13:05:00
2025-12-07 13:00:00,MSFT,483.16,483.16,483.16,483.16,483.16,67826130,2025-12-07 13:05:00
2025-12-07 13:00:00,TSLA,455.0,455.0,455.0,455.0,455.0,169282566,2025-12-07 13:05:00
2025-12-07 13:05:00,AAPL,278.78,278.78,278.78,278.78,278.78,236329225,2025-12-07 13:10:00
2025-12-07 13:05:00,AMZN,229.53,229.53,229.53,229.53,229.53000000000003,165586885,2025-12-07 13:10:00
2025-12-07 13:05:00,GOOGL,321.27,321.27,321.27,321.27,321.27,144258525,2025-12-07 13:10:00
2025-12-07 13:05:00,MSFT,483.16,483.16,483.16,483.16,483.16,113043550,2025-12-07 13:10:00
2025-12-07 13:05:00,TSLA,455.0,455.0,455.0,455.0,455.0,282137610,2025-12-07 13:10:00
2025-12-07 13:10:00,AAPL,278.78,278.78,278.78,278.78,278.78,236329225,2025-12-07 13:15:00
2025-12-07 13:10:00,AMZN,229.53,229.53,229.53,229.53,229.53000000000003,165586885,2025-12-07 13:15:00
2025-12-07 13:10:00,GOOGL,321.27,321.27,321.27,321.27,321.27,144258525,2025-12-07 13:15:00
2025-12-07 13:10:00,MSFT,483.16,483.16,483.16,483.16,483.16,113043550,2025-12-07 13:15:00
2025-12-07 13:10:00,TSLA,455.0,455.0,455.0,455.0,455.0,282137610,2025-12-07 13:15:00
2025-12-07 13:15:00,AAPL,278.78,278.78,278.78,278.78,278.78,236329225,2025-12-07 13:20:00
2025-12-07 13:15:00,AMZN,229.53,229.53,229.53,229.53,229.53000000000003,165586885,2025-12-07 13:20:00
2025-12-07 13:15:00,GOOGL,321.27,321.27,321.27,321.27,321.27,144258525,2025-12-07 13:20:00
2025-12-07 13:15:00,MSFT,483.16,483.16,483.16,483.16,483.16,113043550,2025-12-07 13:20:00
2025-12-07 13:15:00,TSLA,455.0,455.0,455.0,455.0,455.0,282137610,2025-12-07 13:20:00
2025-12-07 13:20:00,AAPL,278.78,278.78,278.78,278.78,278.78,236329225,2025-12-07 13:25:00
2025-12-07 13:20:00,AMZN,229.53,229.53,229.53,229.53,229.53000000000003,165586885,2025-12-07 13:25:00
2025-12-07 13:20:00,GOOGL,321.27,321.27,321.27,321.27,321.27,144258525,2025-12-07 13:25:00
2025-12-07 13:20:00,MSFT,483.16,483.16,483.16,483.16,483.16,113043550,2025-12-07 13:25:00
2025-12-07 13:20:00,TSLA,455.0,455.0,455.0,455.0,455.0,282137610,2025-12-07 13:25:00
2025-12-07 13:25:00,AAPL,278.78,278.78,278.78,278.78,278.78,236329225,2025-12-07 13:30:00
2025-12-07 13:25:00,AMZN,229.53,229.53,229.53,229.53,229.53000000000003,165586885,2025-12-07 13:30:00
2025-12-07 13:25:00,GOOGL,321.27,321.27,321.27,321.27,321.27,144258525,2025-12-07 13:30:00
2025-12-07 13:25:00,MSFT,483.16,483.16,483.16,483.16,483.16,113043550,2025-12-07 13:30:00
2025-12-07 13:25:00,TSLA,455.0,455.0,455.0,455.0,455.0,282137610,2025-12-07 13:30:00
2025-12-07 13:30:00,AAPL,278.78,278.78,278.78,278.78,278.78,236329225,2025-12-07 13:35:00
2025-12-07 13:30:00,AMZN,229.53,229.53,229.53,229.53,229.53000000000003,165586885,2025-12-07 13:35:00
2025-12-07 13:30:00,GOOGL,321.27,321.27,321.27,321.27,321.27,144258525,2025-12-07 13:35:00
2025-12-07 13:30:00,MSFT,483.16,483.16,483.16,483.16,483.16,113043550,2025-12-07 13:35:00
2025-12-07 13:30:00,TSLA,455.0,455.0,455.0,455.0,455.0,282137610,2025-12-07 13:35:00
2025-12-07 13:35:00,AAPL,278.78,278.78,278.78,278.78,278.78,189063380,2025-12-07 13:40:00
2025-12-07 13:35:00,AMZN,229.53,229.53,229.53,229.53,229.53,132469508,2025-12-07 13:40:00
2025-12-07 13:35:00,GOOGL,321.27,321.27,321.27,321.27,321.27,115406820,2025-12-07 13:40:00
2025-12-07 13:35:00,MSFT,483.16,483.16,483.16,483.16,483.16,90434840,2025-12-07 13:40:00
2025-12-07 13:35:00,TSLA,455.0,455.0,455.0,455.0,455.0,225710088,2025-12-07 13:40:00
2025-12-07 13:40:00,AAPL,278.78,278.78,278.78,278.78,278.78,236329225,2025-12-07 13:45:00
2025-12-07 13:40:00,AMZN,229.53,229.53,229.53,229.53,229.53000000000003,165586885,2025-12-07 13:45:00
2025-12-07 13:40:00,GOOGL,321.27,321.27,321.27,321.27,321.27,144258525,2025-12-07 13:45:00
2025-12-07 13:40:00,MSFT,483.16,483.16,483.16,483.16,483.16,113043550,2025-12-07 13:45:00
2025-12-07 13:40:00,TSLA,455.0,455.0,455.0,455.0,455.0,282137610,2025-12-07 13:45:00
2025-12-07 13:45:00,AAPL,278.78,278.78,278.78,278.78,278.78,236329225,2025-12-07 13:50:00
2025-12-07 13:45:00,AMZN,229.53,229.53,229.53,229.53,229.53000000000003,165586885,2025-12-07 13:50:00
2025-12-07 13:45:00,GOOGL,321.27,321.27,321.27,321.27,321.27,144258525,2025-12-07 13:50:00
2025-12-07 13:45:00,MSFT,483.16,483.16,483.16,483.16,483.16,113043550,2025-12-07 13:50:00
2025-12-07 13:45:00,TSLA,455.0,455.0,455.0,455.0,455.0,282137610,2025-12-07 13:50:00
2025-12-07 13:50:00,AAPL,278.78,278.78,278.78,278.78,278.78,236329225,2025-12-07 13:55:00
2025-12-07 13:50:00,AMZN,229.53,229.53,229.53,229.53,229.53000000000003,165586885,2025-12-07 13:55:00
2025-12-07 13:50:00,GOOGL,321.27,321.27,321.27,321.27,321.27,144258525,2025-12-07 13:55:00
2025-12-07 13:50:00,MSFT,483.16,483.16,483.16,483.16,483.16,113043550,2025-12-07 13:55:00
2025-12-07 13:50:00,TSLA,455.0,455.0,455.0,455.0,455.0,282137610,2025-12-07 13:55:00
2025-12-07 13:55:00,AAPL,278.78,278.78,278.78,278.78,278.78,94531690,2025-12-07 14:00:00
2025-12-07 13:55:00,AMZN,229.53,229.53,229.53,229.53,229.53,66234754,2025-12-07 14:00:00
2025-12-07 13:55:00,GOOGL,321.27,321.27,321.27,321.27,321.27,57703410,2025-12-07 14:00:00
2025-12-07 13:55:00,MSFT,483.16,483.16,483.16,483.16,483.16,45217420,2025-12-07 14:00:00
2025-12-07 13:55:00,TSLA,455.0,455.0,455.0,455.0,455.0,112855044,2025-12-07 14:00:00
